file	size_bytes	Name	Title	Date	Creator	Publisher	Flavour	Language	entries	articles
ifixit_en.zim	3570695757	ifixit_en_all	iFixit in English	2025-12-21	iFixit	openZIM		eng	894836	103480
wikibooks_en.zim	3507893616	wikibooks_en_all	Wikibooks	2026-04-27	Wikibooks	openZIM	nopic	eng	261429	118571
wikinews_en.zim	68527994	wikinews_en_all	Wikinews	2026-04-14	Wikinews	openZIM	nopic	eng	38172	38093
wikipedia_en.zim	51927559581	wikipedia_en_all	Wikipedia	2026-03-19	Wikipedia	openZIM	nopic	eng	19551522	19040175
wikiquote_en.zim	323708542	wikiquote_en_all	Wikiquote	2026-04-14	Wikiquote	openZIM	nopic	eng	101818	100536
wikivoyage_en.zim	231621256	wikivoyage_en_all	Wikivoyage	2026-03-17	Wikivoyage	openZIM	nopic	eng	67079	66993
wiktionary_en.zim	9123591835	wiktionary_en_all	Wiktionary	2026-05-11	Wiktionary	openZIM	nopic	eng	8914103	8909586
academia.stackexchange.com_en_all_2026-02.zim	292783387	academia.stackexchange.com_en_all	Academia Q&A	2026-02-01	Stack Exchange	openZIM		eng	250703	84576
anime.stackexchange.com_en_all_2026-02.zim	239248294	anime.stackexchange.com_en_all	Anime & Manga Q&A	2026-02-01	Stack Exchange	openZIM		eng	69950	24555
boardgames.stackexchange.com_en_all_2026-02.zim	107113551	boardgames.stackexchange.com_en_all	Board & Card Games Q&A	2026-02-01	Stack Exchange	openZIM		eng	70888	25860
christianity.stackexchange.com_en_all_2026-02.zim	188888237	christianity.stackexchange.com_en_all	Christianity Q&A	2026-02-02	Stack Exchange	openZIM		eng	98393	30128
cooking.stackexchange.com_en_all_2026-02.zim	237170707	cooking.stackexchange.com_en_all	Cooking Q&A (Seasoned Advice)	2026-02-01	Stack Exchange	openZIM		eng	165872	59483
crafts.stackexchange.com_en_all_2026-02.zim	56873226	crafts.stackexchange.com_en_all	Arts & Crafts Q&A	2026-02-03	Stack Exchange	openZIM		eng	15375	4938
diy.stackexchange.com_en_all_2026-02.zim	2050957131	diy.stackexchange.com_en_all	Home Improvement Q&A	2026-02-04	Stack Exchange	openZIM		eng	517185	165098
earthscience.stackexchange.com_en_all_2026-02.zim	132200858	earthscience.stackexchange.com_en_all	Earth Science Q&A	2026-02-01	Stack Exchange	openZIM		eng	37506	14001
economics.stackexchange.com_en_all_2026-02.zim	114587199	economics.stackexchange.com_en_all	Economics Q&A	2026-02-03	Stack Exchange	openZIM		eng	70053	26705
engineering.stackexchange.com_en_all_2026-02.zim	254016088	engineering.stackexchange.com_en_all	Engineering Q&A	2026-02-02	Stack Exchange	openZIM		eng	91283	31146
fitness.stackexchange.com_en_all_2026-02.zim	79305212	fitness.stackexchange.com_en_all	Physical Fitness Q&A	2026-02-03	Stack Exchange	openZIM		eng	53936	19488
hinduism.stackexchange.com_en_all_2026-02.zim	203600238	hinduism.stackexchange.com_en_all	Hinduism Q&A	2026-02-03	Stack Exchange	openZIM		eng	79167	27412
interpersonal.stackexchange.com_en_all_2026-02.zim	39631353	interpersonal.stackexchange.com_en_all	Interpersonal Skills Q&A	2026-02-04	Stack Exchange	openZIM		eng	30142	10229
islam.stackexchange.com_en_all_2026-02.zim	89259634	islam.stackexchange.com_en_all	Islam Q&A	2026-02-04	Stack Exchange	openZIM		eng	71244	27726
law.stackexchange.com_en_all_2026-02.zim	184995744	law.stackexchange.com_en_all	Law Q&A	2026-02-04	Stack Exchange	openZIM		eng	137873	51249
lifehacks.stackexchange.com_en_all_2026-02.zim	48464752	lifehacks.stackexchange.com_en_all	Lifehacks Q&A	2026-02-04	Stack Exchange	openZIM		eng	27999	9155
literature.stackexchange.com_en_all_2026-02.zim	71309113	literature.stackexchange.com_en_all	Literature Q&A	2026-02-04	Stack Exchange	openZIM		eng	37801	15530
mechanics.stackexchange.com_en_all_2026-02.zim	338835916	mechanics.stackexchange.com_en_all	Motor Vehicle Mechanics	2026-02-05	Stack Exchange	openZIM		eng	142657	54827
money.stackexchange.com_en_all_2026-02.zim	254203087	money.stackexchange.com_en_all	Personal Finance & Money Q&A	2026-02-05	Stack Exchange	openZIM		eng	199569	72198
movies.stackexchange.com_en_all_2026-02.zim	284654366	movies.stackexchange.com_en_all	Movies & TV Q&A	2026-02-05	Stack Exchange	openZIM		eng	147529	55194
musicfans.stackexchange.com_en_all_2026-02.zim	18581170	musicfans.stackexchange.com_en_all	Music Fans Q&A	2026-02-05	Stack Exchange	openZIM		eng	12282	5216
parenting.stackexchange.com_en_all_2026-02.zim	59829460	parenting.stackexchange.com_en_all	Parenting Q&A	2026-02-05	Stack Exchange	openZIM		eng	49912	17681
pets.stackexchange.com_en_all_2026-02.zim	86840184	pets.stackexchange.com_en_all	Pets Q&A	2026-02-05	Stack Exchange	openZIM		eng	42708	17078
